confidenceThreshold;tpr;fpr;accuracy;GPT_Model
1.0;0.142692750287687;0.734338747099768;0.20392836510687465;GPT-4o
0.99;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.98;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.97;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.96;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.95;0.15535097813578827;0.734338747099768;0.21028307336799537;GPT-4o
0.94;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.9299999999999999;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.9199999999999999;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.9099999999999999;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.8999999999999999;0.9252013808975834;0.8178654292343387;0.5551704217215483;GPT-4o
0.8899999999999999;0.9459148446490219;0.6728538283062645;0.6377816291161178;GPT-4o
0.8799999999999999;0.9459148446490219;0.6728538283062645;0.6377816291161178;GPT-4o
0.8699999999999999;0.9459148446490219;0.6728538283062645;0.6377816291161178;GPT-4o
0.8599999999999999;0.9459148446490219;0.6728538283062645;0.6377816291161178;GPT-4o
0.8499999999999999;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.8399999999999999;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.8299999999999998;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.8199999999999998;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.8099999999999998;0.9585730724971231;0.697215777262181;0.6320046216060081;GPT-4o
0.7999999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7899999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7799999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7699999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7599999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7499999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7399999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7299999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7199999999999998;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.7099999999999997;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.6999999999999997;0.9194476409666283;0.5301624129930395;0.6955517042172155;GPT-4o
0.6899999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6799999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6699999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6599999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6499999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6399999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6299999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6199999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.6099999999999997;0.8803222094361335;0.2877030162412993;0.7966493356441363;GPT-4o
0.5999999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5899999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5799999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5699999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5599999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5499999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5399999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5299999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5199999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.5099999999999996;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.49999999999999956;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.48999999999999955;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.47999999999999954;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.46999999999999953;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4599999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4499999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4399999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4299999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4199999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.4099999999999995;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.39999999999999947;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.38999999999999946;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.37999999999999945;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.36999999999999944;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
0.35999999999999943;0.8791714614499425;0.2679814385150812;0.8058925476603119;GPT-4o
