invariantCategory;GPT_Model;TP;TN;FP;FN;count;accuracy;precision;recall;f1score
Arithmetic comparisons;GPT-4o-mini;95;523;113;81;812;0.7610837438423645;0.4567307692307692;0.5397727272727273;0.4947916666666667
Specific values;GPT-4o-mini;60;83;10;64;217;0.6589861751152074;0.8571428571428571;0.4838709677419355;0.6185567010309279
Specific formats;GPT-4o-mini;214;13;1;92;320;0.709375;0.9953488372093023;0.6993464052287581;0.8214971209213052
String comparisons;GPT-4o-mini;188;17;4;40;249;0.8232931726907631;0.9791666666666666;0.8245614035087719;0.8952380952380953
Array properties;GPT-4o-mini;24;97;1;11;133;0.9097744360902256;0.96;0.6857142857142857;0.8
