confidenceThreshold;tpr;fpr;accuracy;GPT_Model
1.0;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.99;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.98;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.97;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.96;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.95;0.0;0.0;0.49797804737146156;GPT-4o-mini
0.94;0.6133486766398158;0.0765661252900232;0.7677642980935875;GPT-4o-mini
0.9299999999999999;0.6133486766398158;0.0765661252900232;0.7677642980935875;GPT-4o-mini
0.9199999999999999;0.6133486766398158;0.0765661252900232;0.7677642980935875;GPT-4o-mini
0.9099999999999999;0.6133486766398158;0.0765661252900232;0.7677642980935875;GPT-4o-mini
0.8999999999999999;0.6133486766398158;0.0765661252900232;0.7677642980935875;GPT-4o-mini
0.8899999999999999;0.6455696202531646;0.10440835266821345;0.7700751010976314;GPT-4o-mini
0.8799999999999999;0.6455696202531646;0.10440835266821345;0.7700751010976314;GPT-4o-mini
0.8699999999999999;0.6455696202531646;0.10440835266821345;0.7700751010976314;GPT-4o-mini
0.8599999999999999;0.6455696202531646;0.10440835266821345;0.7700751010976314;GPT-4o-mini
0.8499999999999999;0.6685845799769851;0.14501160092807425;0.7614095898324668;GPT-4o-mini
0.8399999999999999;0.6685845799769851;0.14501160092807425;0.7614095898324668;GPT-4o-mini
0.8299999999999998;0.6685845799769851;0.14501160092807425;0.7614095898324668;GPT-4o-mini
0.8199999999999998;0.6685845799769851;0.14501160092807425;0.7614095898324668;GPT-4o-mini
0.8099999999999998;0.6685845799769851;0.14501160092807425;0.7614095898324668;GPT-4o-mini
0.7999999999999998;0.6685845799769851;0.14617169373549885;0.7608318890814558;GPT-4o-mini
0.7899999999999998;0.6685845799769851;0.14617169373549885;0.7608318890814558;GPT-4o-mini
0.7799999999999998;0.6685845799769851;0.14617169373549885;0.7608318890814558;GPT-4o-mini
0.7699999999999998;0.6685845799769851;0.14617169373549885;0.7608318890814558;GPT-4o-mini
0.7599999999999998;0.6685845799769851;0.14617169373549885;0.7608318890814558;GPT-4o-mini
0.7499999999999998;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.7399999999999998;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.7299999999999998;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.7199999999999998;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.7099999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6999999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6899999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6799999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6699999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6599999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6499999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6399999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6299999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6199999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.6099999999999997;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5999999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5899999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5799999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5699999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5599999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5499999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5399999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5299999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5199999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.5099999999999996;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.49999999999999956;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.48999999999999955;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.47999999999999954;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.46999999999999953;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4599999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4499999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4399999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4299999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4199999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.4099999999999995;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.39999999999999947;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
0.38999999999999946;0.6685845799769851;0.14965197215777262;0.7590987868284229;GPT-4o-mini
